Time+F36B1A1:FA1:B1425,Concentration
05/22/26 11:56:07.773,83900
05/22/26 11:56:14.945,83400
05/22/26 11:56:21.954,83400
05/22/26 11:56:29.127,83300
05/22/26 11:56:36.163,83300
05/22/26 11:56:43.140,83900
05/22/26 11:56:50.328,83400
05/22/26 11:56:57.400,83100
05/22/26 11:57:04.556,83600
05/22/26 11:57:11.650,83600
05/22/26 11:57:18.774,83600
05/22/26 11:57:25.906,83700
05/22/26 11:57:33.119,83700
05/22/26 11:57:40.341,83900
05/22/26 11:57:47.534,84100
05/22/26 11:57:54.719,84100
05/22/26 11:58:01.896,84600
05/22/26 11:58:09.046,84400
05/22/26 11:58:16.166,84400
05/22/26 11:58:23.330,84100
05/22/26 11:58:30.571,84100
05/22/26 11:58:37.753,84200
05/22/26 11:58:44.932,84900
05/22/26 11:58:51.995,84700
05/22/26 11:58:58.722,84400
05/22/26 11:59:05.379,84600
05/22/26 11:59:12.063,84700
05/22/26 11:59:18.707,84600
05/22/26 11:59:25.363,84400
05/22/26 11:59:32.013,84700
05/22/26 11:59:38.663,84600
05/22/26 11:59:45.298,84200
05/22/26 11:59:51.923,84900
05/22/26 11:59:58.612,84900
05/22/26 12:00:05.265,85200
05/22/26 12:00:12.017,85400
05/22/26 12:00:18.737,85400
05/22/26 12:00:25.343,85400
05/22/26 12:00:32.007,85500
05/22/26 12:00:38.568,85500
05/22/26 12:00:45.255,86200
05/22/26 12:00:51.915,85400
05/22/26 12:00:58.567,85700
05/22/26 12:01:05.287,86200
05/22/26 12:01:12.020,86300
05/22/26 12:01:18.766,85400
05/22/26 12:01:25.545,85700
05/22/26 12:01:32.254,85200
05/22/26 12:01:39.017,85200
05/22/26 12:01:45.838,85200
05/22/26 12:01:52.570,85200
05/22/26 12:01:59.339,85200
05/22/26 12:02:06.048,85200
05/22/26 12:02:12.867,85700
05/22/26 12:02:19.652,86000
05/22/26 12:02:26.382,86000
05/22/26 12:02:33.185,85700
05/22/26 12:02:39.888,85500
05/22/26 12:02:46.704,86300
05/22/26 12:02:53.500,86000
05/22/26 12:03:00.222,85700
05/22/26 12:03:07.046,86300
05/22/26 12:03:13.866,86300
05/22/26 12:03:20.700,86800
05/22/26 12:03:27.509,86100
05/22/26 12:03:34.241,86300
05/22/26 12:03:41.059,86200
05/22/26 12:03:47.811,86300
05/22/26 12:03:54.637,86500
05/22/26 12:04:01.487,85700
05/22/26 12:04:08.319,85900
05/22/26 12:04:15.207,86000
05/22/26 12:04:22.074,86000
05/22/26 12:04:28.896,86700
05/22/26 12:04:35.699,85900
05/22/26 12:04:42.535,85800
05/22/26 12:04:49.429,86600
05/22/26 12:04:56.186,86900
05/22/26 12:05:03.126,86900
05/22/26 12:05:10.042,87200
05/22/26 12:05:16.906,87100
05/22/26 12:05:23.844,87100
05/22/26 12:05:30.816,86600
05/22/26 12:05:37.676,86600
05/22/26 12:05:44.489,86400
05/22/26 12:05:51.277,86700
05/22/26 12:05:58.122,86900
05/22/26 12:06:05.027,86700
05/22/26 12:06:11.904,87100
05/22/26 12:06:18.701,86700
05/22/26 12:06:25.565,86700
05/22/26 12:06:32.379,86900
05/22/26 12:06:39.259,87200
05/22/26 12:06:46.123,86900
05/22/26 12:06:53.066,86900
05/22/26 12:06:59.956,87500
05/22/26 12:07:06.838,87100
05/22/26 12:07:13.762,87400
05/22/26 12:07:20.603,87100
05/22/26 12:07:27.472,86900
05/22/26 12:07:34.299,87200
05/22/26 12:07:41.178,87200
05/22/26 12:07:47.989,87400
05/22/26 12:07:54.804,87500
05/22/26 12:08:01.631,87900
05/22/26 12:08:08.580,87900
05/22/26 12:08:15.516,87700
05/22/26 12:08:22.373,87500
05/22/26 12:08:29.342,87500
